# wavelength, intensity
4.009297000000000253e+02 2.859400024414062500e+02
4.015447844155844450e+02 2.855340821221439569e+02
4.021598688311688647e+02 2.853419883672827382e+02
4.027749532467532845e+02 2.864592337044211376e+02
4.033900376623377042e+02 2.862434771656851353e+02
4.040051220779221239e+02 2.877615748681180321e+02
4.046202064935065437e+02 2.865693605397630108e+02
4.052352909090909066e+02 2.879818530505385752e+02
4.058503753246753263e+02 2.865059304947773171e+02
4.064654597402597460e+02 2.896591170985846588e+02
4.070805441558441657e+02 2.879386599651228948e+02
4.076956285714285855e+02 2.882019632922314258e+02
4.083107129870130052e+02 2.889714572667917878e+02
4.089257974025974249e+02 2.884442554102486724e+02
4.095408818181818447e+02 2.894310594105027121e+02
4.101559662337662644e+02 2.889584597554469383e+02
4.107710506493506841e+02 2.900285190770796362e+02
4.113861350649351039e+02 2.899294684332811585e+02
4.120012194805195236e+02 2.893107154924936140e+02
4.126163038961039433e+02 2.911742324941306492e+02
4.132313883116883062e+02 2.909245156864079149e+02
4.138464727272727259e+02 2.918026610854655019e+02
4.144615571428571457e+02 2.922176813162968187e+02
4.150766415584415654e+02 2.918806897243057961e+02
4.156917259740259851e+02 2.914693880450362826e+02
4.163068103896104049e+02 2.921931409206561625e+02
4.169218948051948246e+02 2.923167492069163700e+02
4.175369792207792443e+02 2.926446679237462831e+02
4.181520636363636640e+02 2.931311422922791508e+02
4.187671480519480838e+02 2.931045412452085088e+02
4.193822324675325035e+02 2.932747819195654984e+02
4.199973168831169232e+02 2.934756895620103592e+02
4.206124012987013430e+02 2.935164335438737453e+02
4.212274857142857627e+02 2.956025078134362047e+02
4.218425701298701824e+02 2.946044580029941926e+02
4.224576545454545453e+02 2.960661588158623090e+02
4.230727389610389650e+02 2.961657472119734962e+02
4.236878233766233848e+02 2.972575245363593126e+02
4.243029077922078045e+02 2.966199698645139620e+02
4.249179922077922242e+02 2.969289903300294782e+02
4.255330766233766440e+02 2.973820408955785410e+02
4.261481610389610637e+02 2.987484876207075786e+02
4.267632454545454834e+02 2.982172764369419724e+02
4.273783298701299032e+02 3.002168340571968201e+02
4.279934142857143229e+02 2.987411995279258576e+02
4.286084987012987426e+02 2.995099309327601986e+02
4.292235831168831623e+02 2.986897435531917608e+02
4.298386675324675252e+02 2.997633532619601056e+02
4.304537519480519450e+02 3.009249052118577197e+02
4.310688363636363647e+02 3.012120089747481302e+02
4.316839207792207844e+02 2.994322363773128473e+02
4.322990051948052042e+02 3.006750482725760776e+02
4.329140896103896239e+02 3.016981017624096353e+02
4.335291740259740436e+02 3.019847985806860038e+02
4.341442584415584633e+02 3.009611127267035044e+02
4.347593428571428831e+02 3.017035066097539584e+02
4.353744272727273028e+02 3.028067086625316620e+02
4.359895116883117225e+02 3.024833012147815907e+02
4.366045961038961423e+02 3.036514633562485415e+02
4.372196805194805620e+02 3.032709754072647002e+02
4.378347649350649817e+02 3.031663979421621207e+02
4.384498493506494015e+02 3.030978719751652761e+02
4.390649337662337643e+02 3.046672317722066055e+02
4.396800181818181841e+02 3.038669629206291916e+02
4.402951025974026038e+02 3.060041065334100949e+02
4.409101870129870235e+02 3.047596942753179974e+02
4.415252714285714433e+02 3.059235934059093438e+02
4.421403558441558630e+02 3.057603156390725303e+02
4.427554402597402827e+02 3.064566887889741906e+02
4.433705246753247025e+02 3.057709958155954837e+02
4.439856090909091222e+02 3.071513282166090448e+02
4.446006935064935419e+02 3.073502721542356539e+02
4.452157779220779616e+02 3.070208647632610450e+02
4.458308623376623814e+02 3.073983137097110898e+02
4.464459467532467443e+02 3.089330459881430784e+02
4.470610311688311640e+02 3.095537494897431543e+02
4.476761155844155837e+02 3.091184067686533581e+02
4.482912000000000035e+02 3.105870242420862724e+02
4.489062844155844232e+02 3.094104085635038359e+02
4.495213688311688429e+02 3.124241021816743569e+02
4.501364532467532626e+02 3.099070270850538691e+02
4.507515376623376824e+02 3.105980580829088922e+02
4.513666220779221021e+02 3.123006482678225666e+02
4.519817064935065218e+02 3.131872437357145600e+02
4.525967909090909416e+02 3.122191496544583629e+02
4.532118753246753613e+02 3.134536861238336201e+02
4.538269597402597810e+02 3.133649504290204391e+02
4.544420441558442008e+02 3.142167878744976974e+02
4.550571285714286205e+02 3.130587638266655972e+02
4.556722129870129834e+02 3.124914598246115247e+02
4.562872974025974031e+02 3.134510909749755569e+02
4.569023818181818228e+02 3.143260195584240364e+02
4.575174662337662426e+02 3.140410376767250114e+02
4.581325506493506623e+02 3.157230501703709251e+02
4.587476350649350820e+02 3.146824037293697529e+02
4.593627194805195018e+02 3.159295950094445402e+02
4.599778038961039215e+02 3.162874895377408961e+02
4.605928883116883412e+02 3.158325910798595260e+02
4.612079727272727609e+02 3.165098251918648771e+02
4.618230571428571807e+02 3.176061977703402590e+02
4.624381415584416004e+02 3.171622299230616022e+02
4.630532259740259633e+02 3.185443189830024266e+02
4.636683103896103830e+02 3.186143456993519294e+02
4.642833948051948028e+02 3.191619530170087842e+02
4.648984792207792225e+02 3.211890754470542788e+02
4.655135636363636422e+02 3.203119638769333051e+02
4.661286480519480619e+02 3.213416775303269333e+02
4.667437324675324817e+02 3.214110931089155656e+02
4.673588168831169014e+02 3.237012492586686676e+02
4.679739012987013211e+02 3.252763613728540690e+02
4.685889857142857409e+02 3.264629918216907072e+02
4.692040701298701606e+02 3.249451841731106470e+02
4.698191545454545803e+02 3.287643304763946048e+02
4.704342389610390001e+02 3.287076350989761409e+02
4.710493233766234198e+02 3.284605954721725993e+02
4.716644077922078395e+02 3.301483605857170005e+02
4.722794922077922593e+02 3.316963331511312276e+02
4.728945766233766221e+02 3.333210616937249142e+02
4.735096610389610419e+02 3.327148696264596879e+02
4.741247454545454616e+02 3.351064116531715058e+02
4.747398298701298813e+02 3.348328032967255012e+02
4.753549142857143011e+02 3.364595558076549651e+02
4.759699987012987208e+02 3.386944840390780769e+02
4.765850831168831405e+02 3.399602466214971059e+02
4.772001675324675602e+02 3.397557980956541428e+02
4.778152519480519800e+02 3.423775252964351807e+02
4.784303363636363997e+02 3.416433764364355170e+02
4.790454207792207626e+02 3.438861490274309745e+02
4.796605051948051823e+02 3.438357027125103969e+02
4.802755896103896021e+02 3.473152382248567847e+02
4.808906740259740218e+02 3.467482359094764774e+02
4.815057584415584415e+02 3.484591689379975037e+02
4.821208428571428612e+02 3.479996505582500959e+02
4.827359272727272810e+02 3.521286274715379818e+02
4.833510116883117007e+02 3.516986618979573223e+02
4.839660961038961204e+02 3.521236666807205893e+02
4.845811805194805402e+02 3.549702110964707913e+02
4.851962649350649599e+02 3.551979364282509550e+02
4.858113493506493796e+02 3.582094509648591725e+02
4.864264337662337994e+02 3.585697596805038643e+02
4.870415181818182191e+02 3.602449842648358072e+02
4.876566025974026388e+02 3.619215928126264430e+02
4.882716870129870586e+02 3.639510826397822143e+02
4.888867714285714783e+02 3.644099318993589236e+02
4.895018558441558412e+02 3.651613640443993631e+02
4.901169402597402609e+02 3.653899980036258057e+02
4.907320246753246806e+02 3.660425122658494388e+02
4.913471090909091004e+02 3.686617614751413612e+02
4.919621935064935201e+02 3.705029434069835474e+02
4.925772779220779398e+02 3.698820425893604238e+02
4.931923623376623596e+02 3.736406592739857615e+02
4.938074467532467793e+02 3.738200185881163407e+02
4.944225311688311990e+02 3.784359978178071060e+02
4.950376155844156187e+02 3.775016116536345976e+02
4.956526999999999816e+02 3.808439499164951485e+02
4.962677844155844014e+02 3.820850993281107435e+02
4.968828688311688211e+02 3.855699256824489112e+02
4.974979532467532408e+02 3.862495680960522009e+02
4.981130376623376605e+02 3.886812322967315936e+02
4.987281220779220803e+02 3.910900726672091992e+02
4.993432064935065000e+02 3.915541857708413431e+02
4.999582909090909197e+02 3.955211596138667574e+02
5.005733753246753395e+02 3.950163423544054808e+02
5.011884597402597592e+02 3.966943780590149800e+02
5.018035441558441789e+02 3.983827032920540887e+02
5.024186285714285987e+02 4.003626095789562100e+02
5.030337129870130184e+02 4.041698350782521061e+02
5.036487974025974381e+02 4.079770605775480590e+02
5.042638818181818579e+02 4.129917474616281083e+02
5.048789662337662776e+02 4.156152266596576510e+02
5.054940506493506973e+02 4.196651769156655405e+02
5.061091350649350602e+02 4.234530469191332713e+02
5.067242194805194799e+02 4.266791788634182012e+02
5.073393038961038997e+02 4.281407083947700585e+02
5.079543883116883194e+02 4.336327249379997397e+02
5.085694727272727391e+02 4.334279840162583923e+02
5.091845571428571589e+02 4.380555649672709819e+02
5.097996415584415786e+02 4.405719423013165965e+02
5.104147259740259983e+02 4.434415606067275917e+02
5.110298103896104180e+02 4.451759579597099332e+02
5.116448948051948378e+02 4.471516839208759393e+02
5.122599792207792007e+02 4.505418926742376584e+02
5.128750636363636204e+02 4.514072042479693891e+02
5.134901480519480401e+02 4.564840174279589178e+02
5.141052324675324599e+02 4.581096408710614014e+02
5.147203168831168796e+02 4.590072310616502023e+02
5.153354012987012993e+02 4.622092223741902330e+02
5.159504857142857190e+02 4.639728951975693008e+02
5.165655701298701388e+02 4.662131502088741399e+02
5.171806545454545585e+02 4.699768579643101702e+02
5.177957389610389782e+02 4.713632325837583039e+02
5.184108233766233980e+02 4.748883196496344112e+02
5.190259077922078177e+02 4.763260323181024205e+02
5.196409922077922374e+02 4.804855874970307354e+02
5.202560766233766572e+02 4.836966641844464334e+02
5.208711610389610769e+02 4.876202773087482569e+02
5.214862454545454966e+02 4.901732748509825797e+02
5.221013298701299163e+02 4.943277026777912511e+02
5.227164142857143361e+02 4.977411608809748600e+02
5.233314987012987558e+02 5.029513592567457181e+02
5.239465831168831755e+02 5.082657860749576457e+02
5.245616675324674816e+02 5.121711761703244292e+02
5.251767519480520150e+02 5.160279615050943676e+02
5.257918363636363210e+02 5.220151855052998826e+02
5.264069207792207408e+02 5.266225771836701597e+02
5.270220051948051605e+02 5.347098409192807367e+02
5.276370896103895802e+02 5.389619965879221581e+02
5.282521740259740000e+02 5.466169927880951036e+02
5.288672584415584197e+02 5.513201387694435880e+02
5.294823428571428394e+02 5.569978234259632472e+02
5.300974272727272592e+02 5.648508270399587445e+02
5.307125116883116789e+02 5.699368844264477048e+02
5.313275961038960986e+02 5.749884114054896145e+02
5.319426805194805183e+02 5.793080465054858905e+02
5.325577649350649381e+02 5.832987360024905001e+02
5.331728493506493578e+02 5.870167659234749635e+02
5.337879337662337775e+02 5.908394330279095357e+02
5.344030181818181973e+02 5.910198748612464215e+02
5.350181025974026170e+02 5.975540541352576156e+02
5.356331870129870367e+02 5.985959492167988856e+02
5.362482714285714565e+02 6.031362206762967162e+02
5.368633558441558762e+02 6.046585473941349846e+02
5.374784402597402959e+02 6.101680517861665294e+02
5.380935246753247156e+02 6.144928079504109064e+02
5.387086090909091354e+02 6.184483103718781649e+02
5.393236935064935551e+02 6.209361828989798369e+02
5.399387779220778611e+02 6.258824060048084448e+02
5.405538623376623946e+02 6.282786538064240176e+02
5.411689467532467006e+02 6.347679666433414241e+02
5.417840311688312340e+02 6.394198108547788024e+02
5.423991155844155401e+02 6.443460478662282185e+02
5.430142000000000735e+02 6.496098964665524136e+02
5.436292844155843795e+02 6.542089420543441065e+02
5.442443688311687993e+02 6.601469726174153720e+02
5.448594532467532190e+02 6.666832076973256562e+02
5.454745376623376387e+02 6.714575639844764510e+02
5.460896220779220585e+02 6.772818543052100040e+02
5.467047064935064782e+02 6.821919606079342202e+02
5.473197909090908979e+02 6.857427244706594820e+02
5.479348753246753176e+02 6.942584825739872940e+02
5.485499597402597374e+02 7.011354781137645205e+02
5.491650441558441571e+02 7.074511014513441296e+02
5.497801285714285768e+02 7.106510809175260874e+02
5.503952129870129966e+02 7.183353530380750271e+02
5.510102974025974163e+02 7.287397776600844281e+02
5.516253818181818360e+02 7.385421365909976430e+02
5.522404662337662558e+02 7.461870090297887828e+02
5.528555506493506755e+02 7.569927779701683903e+02
5.534706350649350952e+02 7.684971547754613539e+02
5.540857194805195149e+02 7.787913424771037398e+02
5.547008038961039347e+02 7.901104947088530253e+02
5.553158883116883544e+02 8.012080486541316304e+02
5.559309727272727741e+02 8.084996253060320441e+02
5.565460571428570802e+02 8.186560525520212650e+02
5.571611415584416136e+02 8.306012043322074305e+02
5.577762259740259196e+02 8.415074606255509480e+02
5.583913103896104531e+02 8.554792062443029863e+02
5.590063948051947591e+02 8.659017510657056391e+02
5.596214792207792925e+02 8.797832150202891626e+02
5.602365636363635986e+02 8.903614572484991641e+02
5.608516480519480183e+02 9.023126458944070691e+02
5.614667324675324380e+02 9.080203368698570330e+02
5.620818168831168578e+02 9.215581873799416144e+02
5.626969012987012775e+02 9.336458409995623242e+02
5.633119857142856972e+02 9.425119520334097842e+02
5.639270701298701169e+02 9.544618888702547110e+02
5.645421545454545367e+02 9.615513221313904069e+02
5.651572389610389564e+02 9.699887545817979344e+02
5.657723233766233761e+02 9.779014694290082161e+02
5.663874077922077959e+02 9.816296151104783121e+02
5.670024922077922156e+02 9.890960633711381433e+02
5.676175766233766353e+02 9.938892430771585396e+02
5.682326610389610551e+02 1.002048147005491160e+03
5.688477454545454748e+02 1.007873525546051042e+03
5.694628298701298945e+02 1.011148671553971667e+03
5.700779142857143142e+02 1.019038442650172783e+03
5.706929987012987340e+02 1.027830093307571360e+03
5.713080831168831537e+02 1.035293566702461931e+03
5.719231675324675734e+02 1.042294054360578912e+03
5.725382519480519932e+02 1.047153666310115796e+03
5.731533363636362992e+02 1.053906169064393453e+03
5.737684207792208326e+02 1.059653152535686104e+03
5.743835051948051387e+02 1.064387146624281968e+03
5.749985896103896721e+02 1.071456716829515699e+03
5.756136740259739781e+02 1.077106801682521109e+03
5.762287584415585115e+02 1.084750275742119811e+03
5.768438428571428176e+02 1.090690542159036795e+03
5.774589272727272373e+02 1.099478366594961244e+03
5.780740116883116571e+02 1.107907900299773701e+03
5.786890961038960768e+02 1.114330045483996628e+03
5.793041805194804965e+02 1.120967782136248843e+03
5.799192649350649162e+02 1.130644259005958702e+03
5.805343493506493360e+02 1.137954016322117468e+03
5.811494337662337557e+02 1.146140403822251074e+03
5.817645181818181754e+02 1.154127516323704185e+03
5.823796025974025952e+02 1.159581044010919868e+03
5.829946870129870149e+02 1.166551565036526654e+03
5.836097714285714346e+02 1.173149458966937118e+03
5.842248558441558544e+02 1.180461503422726537e+03
5.848399402597402741e+02 1.186026797232308581e+03
5.854550246753246938e+02 1.197649480594528995e+03
5.860701090909091135e+02 1.204138333604530089e+03
5.866851935064935333e+02 1.214126684359140654e+03
5.873002779220779530e+02 1.224363538315396909e+03
5.879153623376623727e+02 1.231213649302360864e+03
5.885304467532467925e+02 1.240811679034467488e+03
5.891455311688312122e+02 1.249826316613536846e+03
5.897606155844155182e+02 1.258061311884529232e+03
5.903757000000000517e+02 1.267766159438355544e+03
5.909907844155843577e+02 1.274193195633842834e+03
5.916058688311688911e+02 1.285289571495603241e+03
5.922209532467531972e+02 1.288355820141164713e+03
5.928360376623377306e+02 1.296038681194173478e+03
5.934511220779220366e+02 1.301488723942380602e+03
5.940662064935064564e+02 1.310052955599172947e+03
5.946812909090908761e+02 1.318669673353020016e+03
5.952963753246752958e+02 1.328286306976104925e+03
5.959114597402597155e+02 1.339300605275461749e+03
5.965265441558441353e+02 1.353290825085254255e+03
5.971416285714285550e+02 1.365157450198931656e+03
5.977567129870129747e+02 1.378041150390137318e+03
5.983717974025973945e+02 1.391459954763864289e+03
5.989868818181818142e+02 1.402215434641232832e+03
5.996019662337662339e+02 1.416141143789682019e+03
6.002170506493506537e+02 1.426231213000163507e+03
6.008321350649350734e+02 1.439482309097152893e+03
6.014472194805194931e+02 1.448028416801094636e+03
6.020623038961039128e+02 1.461146099140117940e+03
6.026773883116883326e+02 1.467845771828669967e+03
6.032924727272727523e+02 1.473606107575042188e+03
6.039075571428571720e+02 1.475957304935663160e+03
6.045226415584415918e+02 1.487741828508406115e+03
6.051377259740260115e+02 1.496136163331716261e+03
6.057528103896104312e+02 1.508559308701722557e+03
6.063678948051947373e+02 1.520982454071726806e+03
6.069829792207792707e+02 1.533405599441735376e+03
6.075980636363635767e+02 1.550305190787702713e+03
6.082131480519481102e+02 1.567712397311594259e+03
