# wavelength, intensity
4.009297000000000253e+02 2.798599853515625000e+02
4.015447844155844450e+02 2.797040292689258649e+02
4.021598688311688647e+02 2.797059112182897707e+02
4.027749532467532845e+02 2.798330578073538959e+02
4.033900376623377042e+02 2.792262724372808407e+02
4.040051220779221239e+02 2.804955548001694865e+02
4.046202064935065437e+02 2.792628414335583784e+02
4.052352909090909066e+02 2.806286715202693358e+02
4.058503753246753263e+02 2.808369292656201424e+02
4.064654597402597460e+02 2.805061164915102836e+02
4.070805441558441657e+02 2.811595561700149233e+02
4.076956285714285855e+02 2.816400146484375000e+02
4.083107129870130052e+02 2.807090644166038373e+02
4.089257974025974249e+02 2.813918717174120729e+02
4.095408818181818447e+02 2.822242316784084437e+02
4.101559662337662644e+02 2.828715735429771030e+02
4.107710506493506841e+02 2.818371945307887358e+02
4.113861350649351039e+02 2.827935097084375116e+02
4.120012194805195236e+02 2.839795032019616201e+02
4.126163038961039433e+02 2.829172788368438205e+02
4.132313883116883062e+02 2.842548533462291402e+02
4.138464727272727259e+02 2.840131154778133578e+02
4.144615571428571457e+02 2.846247161961372285e+02
4.150766415584415654e+02 2.844579103934411819e+02
4.156917259740259851e+02 2.844120239846041045e+02
4.163068103896104049e+02 2.838220809418098725e+02
4.169218948051948246e+02 2.848363049265335576e+02
4.175369792207792443e+02 2.848549356687598220e+02
4.181520636363636640e+02 2.860114740502501149e+02
4.187671480519480838e+02 2.855646042926368864e+02
4.193822324675325035e+02 2.862006981767227103e+02
4.199973168831169232e+02 2.863457160769227130e+02
4.206124012987013430e+02 2.860099923175087042e+02
4.212274857142857627e+02 2.870916226184162952e+02
4.218425701298701824e+02 2.876706464671298704e+02
4.224576545454545453e+02 2.875124855793661141e+02
4.230727389610389650e+02 2.883826878058392822e+02
4.236878233766233848e+02 2.884593388092096689e+02
4.243029077922078045e+02 2.894522289035830340e+02
4.249179922077922242e+02 2.896608976959364554e+02
4.255330766233766440e+02 2.886179301391134118e+02
4.261481610389610637e+02 2.891745228200787210e+02
4.267632454545454834e+02 2.887497218546059798e+02
4.273783298701299032e+02 2.894701751884704777e+02
4.279934142857143229e+02 2.904017546109579939e+02
4.286084987012987426e+02 2.898222203021535961e+02
4.292235831168831623e+02 2.904826433836112187e+02
4.298386675324675252e+02 2.891416532743407402e+02
4.304537519480519450e+02 2.906428035179347376e+02
4.310688363636363647e+02 2.896612170982577368e+02
4.316839207792207844e+02 2.909278832783706434e+02
4.322990051948052042e+02 2.913644093367920505e+02
4.329140896103896239e+02 2.902989018465860340e+02
4.335291740259740436e+02 2.912866605962511244e+02
4.341442584415584633e+02 2.916734572762535436e+02
4.347593428571428831e+02 2.924707942973626018e+02
4.353744272727273028e+02 2.919833804443229042e+02
4.359895116883117225e+02 2.920449769731611696e+02
4.366045961038961423e+02 2.915629026719768717e+02
4.372196805194805620e+02 2.923877615931625655e+02
4.378347649350649817e+02 2.927559609102085005e+02
4.384498493506494015e+02 2.908178470383238050e+02
4.390649337662337643e+02 2.937647441429738251e+02
4.396800181818181841e+02 2.925006411909942585e+02
4.402951025974026038e+02 2.934183724988771473e+02
4.409101870129870235e+02 2.933666401922599789e+02
4.415252714285714433e+02 2.942122014401922456e+02
4.421403558441558630e+02 2.922468052878669482e+02
4.427554402597402827e+02 2.936373946042906482e+02
4.433705246753247025e+02 2.927184914018001223e+02
4.439856090909091222e+02 2.923731961299764066e+02
4.446006935064935419e+02 2.932136711643404396e+02
4.452157779220779616e+02 2.944393490379754326e+02
4.458308623376623814e+02 2.935956503120242473e+02
4.464459467532467443e+02 2.929105735562497443e+02
4.470610311688311640e+02 2.936574225719664923e+02
4.476761155844155837e+02 2.941249612335445249e+02
4.482912000000000035e+02 2.951930107658517386e+02
4.489062844155844232e+02 2.943815007271110744e+02
4.495213688311688429e+02 2.948203955135422234e+02
4.501364532467532626e+02 2.942540350241405349e+02
4.507515376623376824e+02 2.948855125293547985e+02
4.513666220779221021e+02 2.972178615828424881e+02
4.519817064935065218e+02 2.980999288605395918e+02
4.525967909090909416e+02 2.939908267266974917e+02
4.532118753246753613e+02 2.943872958944781431e+02
4.538269597402597810e+02 2.948068520573900173e+02
4.544420441558442008e+02 2.949355616000901250e+02
4.550571285714286205e+02 2.937173865150716097e+02
4.556722129870129834e+02 2.958884462639495041e+02
4.562872974025974031e+02 2.943672380785224618e+02
4.569023818181818228e+02 2.938081915606121015e+02
4.575174662337662426e+02 2.942152271001194777e+02
4.581325506493506623e+02 2.949141455891614214e+02
4.587476350649350820e+02 2.937184209473895180e+02
4.593627194805195018e+02 2.943295462548099408e+02
4.599778038961039215e+02 2.935515041025242340e+02
4.605928883116883412e+02 2.941179515824264286e+02
4.612079727272727609e+02 2.941018668884364615e+02
4.618230571428571807e+02 2.937674814595051203e+02
4.624381415584416004e+02 2.955975409203747972e+02
4.630532259740259633e+02 2.939937830755562800e+02
4.636683103896103830e+02 2.961010389147571686e+02
4.642833948051948028e+02 2.941568962975982231e+02
4.648984792207792225e+02 2.961661800876416919e+02
4.655135636363636422e+02 2.948799496596417384e+02
4.661286480519480619e+02 2.960588657875420608e+02
4.667437324675324817e+02 2.965053036552805565e+02
4.673588168831169014e+02 2.964650421047484201e+02
