# wavelength, intensity
4.009297000000000253e+02 2.819500122070312500e+02
4.015447844155844450e+02 2.805523903567647608e+02
4.021598688311688647e+02 2.808420226125882095e+02
4.027749532467532845e+02 2.831347195486296187e+02
4.033900376623377042e+02 2.812493278715355700e+02
4.040051220779221239e+02 2.829284236008463722e+02
4.046202064935065437e+02 2.824909161720943871e+02
4.052352909090909066e+02 2.826323560024630979e+02
4.058503753246753263e+02 2.826515913830784257e+02
4.064654597402597460e+02 2.827453428686302459e+02
4.070805441558441657e+02 2.827595471049897924e+02
4.076956285714285855e+02 2.830441544003363106e+02
4.083107129870130052e+02 2.831665238350641403e+02
4.089257974025974249e+02 2.831798301624862688e+02
4.095408818181818447e+02 2.832789664483362913e+02
4.101559662337662644e+02 2.843358040310521346e+02
4.107710506493506841e+02 2.854265706707506638e+02
4.113861350649351039e+02 2.839734388291963114e+02
4.120012194805195236e+02 2.843536426013965865e+02
4.126163038961039433e+02 2.845550509350916855e+02
4.132313883116883062e+02 2.868776921521578060e+02
4.138464727272727259e+02 2.862651617648161277e+02
4.144615571428571457e+02 2.862337950447980006e+02
4.150766415584415654e+02 2.854611845126082130e+02
4.156917259740259851e+02 2.878966537870588240e+02
4.163068103896104049e+02 2.851328890339504483e+02
4.169218948051948246e+02 2.873637618930205804e+02
4.175369792207792443e+02 2.867251141618501151e+02
4.181520636363636640e+02 2.885999557716108939e+02
4.187671480519480838e+02 2.866561717879135358e+02
4.193822324675325035e+02 2.884422069740076608e+02
4.199973168831169232e+02 2.887756921736948357e+02
4.206124012987013430e+02 2.885065874987798793e+02
4.212274857142857627e+02 2.881123394853132709e+02
4.218425701298701824e+02 2.901424493086804546e+02
4.224576545454545453e+02 2.903053608170316693e+02
4.230727389610389650e+02 2.903654544047203672e+02
4.236878233766233848e+02 2.900070388595778468e+02
4.243029077922078045e+02 2.908660266514028194e+02
4.249179922077922242e+02 2.918314268103604832e+02
4.255330766233766440e+02 2.909526593921428343e+02
4.261481610389610637e+02 2.913799549358374179e+02
4.267632454545454834e+02 2.920299197017167785e+02
4.273783298701299032e+02 2.913201812919861027e+02
4.279934142857143229e+02 2.914317125007158324e+02
4.286084987012987426e+02 2.920258064469990131e+02
4.292235831168831623e+02 2.928026537609568436e+02
4.298386675324675252e+02 2.932961449606822839e+02
4.304537519480519450e+02 2.927491029000132130e+02
4.310688363636363647e+02 2.931059157940833302e+02
4.316839207792207844e+02 2.916271060814569296e+02
4.322990051948052042e+02 2.941663181613536722e+02
4.329140896103896239e+02 2.928945229756631079e+02
4.335291740259740436e+02 2.924282197892063095e+02
4.341442584415584633e+02 2.934914189636365336e+02
