# wavelength, intensity
4.509759000000000242e+02 0.000000000000000000e+00
4.514880990009990001e+02 1.143936149698096929e-03
4.520002980019980328e+02 7.351062704726261943e-04
4.525124970029970086e+02 1.414327631164010758e-03
4.530246960039960413e+02 1.201230154826031082e-03
4.535368950049950172e+02 1.965466331085264154e-03
4.540490940059940499e+02 2.137171409544941138e-03
4.545612930069930258e+02 2.283313456254887526e-03
4.550734920079920585e+02 2.238401338064785039e-03
4.555856910089910343e+02 2.808490101262176887e-03
4.560978900099900102e+02 3.189625556665234493e-03
4.566100890109890429e+02 3.254359725073623609e-03
4.571222880119880188e+02 3.174820276564784167e-03
4.576344870129870515e+02 3.375711216970295452e-03
4.581466860139860273e+02 4.196693307952734965e-03
4.586588850149850600e+02 4.763003576281365538e-03
4.591710840159840359e+02 4.617124733983632781e-03
4.596832830169830686e+02 4.936626933869053650e-03
4.601954820179820445e+02 4.984332163260610932e-03
4.607076810189810203e+02 5.516288356251832989e-03
4.612198800199800530e+02 5.482834398171834711e-03
4.617320790209790289e+02 5.350071793752304850e-03
4.622442780219780616e+02 5.865522201482102453e-03
4.627564770229770374e+02 6.462871773942511881e-03
4.632686760239760702e+02 6.432182078611996950e-03
4.637808750249750460e+02 7.249016644804199237e-03
4.642930740259740219e+02 7.639260827079497919e-03
4.648052730269730546e+02 7.695773001405676293e-03
4.653174720279720304e+02 8.038082457469050701e-03
4.658296710289710632e+02 8.230326205352887087e-03
4.663418700299700390e+02 8.461916986265511850e-03
4.668540690309690717e+02 9.311454608539600913e-03
4.673662680319680476e+02 1.013252873567418826e-02
4.678784670329670803e+02 1.042184014237655318e-02
4.683906660339660561e+02 1.090950564620486556e-02
4.689028650349650320e+02 1.086336649921135211e-02
4.694150640359640647e+02 1.217563107474990518e-02
4.699272630369630406e+02 1.253658186396275180e-02
4.704394620379620733e+02 1.295330322952444567e-02
4.709516610389610491e+02 1.310525108578643010e-02
4.714638600399600818e+02 1.483724303305287637e-02
4.719760590409590577e+02 1.485716280080613856e-02
4.724882580419580904e+02 1.549761299613188620e-02
4.730004570429570663e+02 1.663517331416816333e-02
4.735126560439560421e+02 1.687212386087524885e-02
4.740248550449550748e+02 1.785478856294988453e-02
4.745370540459540507e+02 1.880924842906932931e-02
4.750492530469530834e+02 1.941848477457216310e-02
4.755614520479520593e+02 2.012376258652431166e-02
4.760736510489510920e+02 2.062956399659297141e-02
4.765858500499500678e+02 2.096295060484164308e-02
4.770980490509490437e+02 2.131264744154295204e-02
